municipality_id,S/N,Registration Number,Brand,Model,Type,Category,Fuel,Parking,Department,License Category,Special Category,Status
ΧΑΛΑΝΔΡΙ,1,ΚΤΥ2111,IVECO,-,ΦΟΡΤΗΓΟ,ΑΝΑΤΡΕΠΟΜΕΝΟ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,ΓΕΡΑΝΟΣ,decommissioned
ΧΑΛΑΝΔΡΙ,2,ΚΤΥ2112,IVECO,-,ΦΟΡΤΗΓΟ,ΑΝΑΤΡΕΠΟΜΕΝΟ,ΠΕΤΡΕΛΑΙΟ,ΜΑΜΟΠΟΥΛΟΣ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Γ,ΚΑΛΑΘΟΦΟΡΟ,in_service
ΧΑΛΑΝΔΡΙ,3,ZNK3928,IVECO,-,ΑΝΟΙΧΤΟ ΦΟΡΤΗΓΟ ΜΕ ΑΡΠΑΓΗ,ΑΡΠΑΓΗ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,ΠΥΡΟΣΒΕΣΤΙΚΟ,reserved
ΧΑΛΑΝΔΡΙ,4,KTY3242,DAF,LF 290 FA,ΑΝΟΙΧΤΟ ΦΟΡΤΗΓΟ ΜΕ ΑΡΠΑΓΗ,ΑΡΠΑΓΗ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,,standby
ΧΑΛΑΝΔΡΙ,5,KHH9868,IVECO,-,ΑΝΟΙΧΤΟ ΦΟΡΤΗΓΟ ΜΕ ΑΡΠΑΓΗ,ΑΡΠΑΓΗ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,,out_of_service
ΧΑΛΑΝΔΡΙ,6,ΚΗI 7100,FORD,-,ΑΝΟΙΧΤΟ ΦΟΡΤΗΓΟ ΜΕ ΑΡΠΑΓΗ,ΑΡΠΑΓΗ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,,maintenance
ΧΑΛΑΝΔΡΙ,7,KTY2106,IVECO,-,ΑΝΟΙΧΤΟ ΦΟΡΤΗΓΟ ΜΕ ΑΡΠΑΓΗ,ΑΡΠΑΓΗ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Γ,,awaiting_parts
ΧΑΛΑΝΔΡΙ,8,ΚΗΗ5922,DAEWOO,AVEO,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,inspection_kteo
ΧΑΛΑΝΔΡΙ,9,ΚΗΗ5925,GM DAEWOO,MATIZ,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,reserved
ΧΑΛΑΝΔΡΙ,10,ΚΗΗ7734,KIA,CEE'D,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,standby
ΧΑΛΑΝΔΡΙ,11,ΚΗΗ5924,GM DAEWOO,MATIZ,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΠΕΡΙΒΑΛΛΟΝ,Β,,standby
ΧΑΛΑΝΔΡΙ,12,ΚΗΗ7733,KIA,CEE'D,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΠΕΡΙΒΑΛΛΟΝ,Β,,
ΧΑΛΑΝΔΡΙ,13,ΚΗΗ3971,CITROEN,C3,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΜΑΜΟΠΟΥΛΟΥ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Β,,
ΧΑΛΑΝΔΡΙ,14,ΚΗΗ5926,HYUNDAI,H-1,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΜΑΜΟΠΟΥΛΟΥ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Β,,
ΧΑΛΑΝΔΡΙ,15,ΚΗΗ7732,KIA,CEE'D,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΠΕΤΡΕΛΑΙΟ,ΜΑΜΟΠΟΥΛΟΥ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Β,,
ΧΑΛΑΝΔΡΙ,16,ΚΗΙ5749,HYUNDAI,MATRIX,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ/Φ.Α,ΜΑΜΟΠΟΥΛΟΥ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Β,,
ΧΑΛΑΝΔΡΙ,17,ΙΤΧ2407,HYUNDAI,I10,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΦΛΥΑ - ΚΟΙΝΩΝΙΚΗ,-,Β,,
ΧΑΛΑΝΔΡΙ,18,ΚΗΗ3970,CITROEN,C3,ΕΠΙΒΑΤΙΚΟ,ΕΠΙΒΑΤΙΚΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,-,Β,,
ΧΑΛΑΝΔΡΙ,19,ΚΗΗ7435,FIAT,DUCATO,ΦΟΡΤΗΓΟ,ΗΜΙΦΟΡΤΗΓΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,
ΧΑΛΑΝΔΡΙ,20,ΚΗΗ7436,FIAT,DUCATO,ΦΟΡΤΗΓΟ,ΗΜΙΦΟΡΤΗΓΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,
ΧΑΛΑΝΔΡΙ,21,ΚΗΗ7437,FIAT,DUCATO,ΦΟΡΤΗΓΟ,ΗΜΙΦΟΡΤΗΓΟ,ΒΕΝΖΙΝΗ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Β,,
ΧΑΛΑΝΔΡΙ,22,ΚΗΙ7095,RENAULT,PDMNL5,ΛΕΩΦΟΡΕΙΟ,ΜΕΤΑΦΟΡΑΣ ΠΡΟΣΩΠΙΚΟΥ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΚΑΘΑΡΙΟΤΗΤΑ,Δ,,
ΧΑΛΑΝΔΡΙ,23,ΚΗΗ5938,MERCEDES BENZ,SPRINTER CITY 65,ΛΕΩΦΟΡΕΙΟ,ΛΕΩΦΟΡΕΙΟ,ΠΕΤΡΕΛΑΙΟ,ΑΜΑΞΟΣΤΑΣΙΟ,ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ,Δ,,
ΧΑΛΑΝΔΡΙ,24,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,breakdown
ΜΑΡΟΥΣΙ,25,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,ΤΕΣΤ,standby
